123814396,877540
64966045,386040162
37659974,321809149
138794692,3769623
4722649,210028911
90342802,12578116
70412049,221687659
131228215,210738577
27673005,4583213
8442041,387316318
52446250,323909993
117046521,330719075
93509184,316555195
10070648,68824153
16471696,29188570
102384012,400405447
129901098,136806108
142147795,186911806
129838217,127429960
61840976,353892706
77053167,277028056
24298954,192411889
4345477,52381952
105099621,86674842
93460087,261481160
82733729,160788176
46438190,127929905
77934101,139275009
112624474,396157993
50340729,91376635
95868729,171297748
83635059,116193424
19347313,203448751
98817070,22251811
16891565,153646577
69954393,172061898
138810986,293744807
30292145,75456646
5224199,50583368
107328166,290629655
131032896,310087598
66976876,9481888
46550020,223112838
132847169,106392612
60371446,324621470
122081043,83800807
70412049,176850611
94246382,377279372
118580080,145614316
108623128,373411006
39936758,136577745
61168,363314716
73331581,190320503
56485225,180257708
104568145,143799673
100576625,49002319
32988961,193269095
78048479,9845340
36723448,262383900
22717128,180523118
121687772,128405481
88231861,318038461
140987736,388998815
109369720,299963714
132773972,382131292
74994281,368877423
73427429,347914898
104418174,263071598
47141960,205081227
103298536,147681624
25261910,128319146
139555789,51517440
126460283,342294547
116557679,249141055
106678728,217168193
115965957,281842077
100371582,101975409
25800428,350438157
60895034,184821175
71193336,135058145
127929103,346526182
50322291,400445903
78018680,86674842
133135970,401180974
82860078,92205232
116782939,157196064
18187983,109195366
31462872,249970869
65964178,226605102
40994655,231685385
83094299,204060410
50923699,49002319
52402505,168329867
123783088,371875827
110422419,27604294
59397714,145289989
36731024,243218074
44552395,163340476
135027916,287451234
29990078,393082732
114407780,181313444
46438190,89746771
79919662,95875607
61973656,82479493
80154957,86544886
141106107,304744713
42408320,102490613
129979590,96658691
4707609,399035407
101675574,217710959
17896561,198473551
16439195,268605515
10146198,274470854
84051224,135912962
39003640,16066930
112009635,96491975
41405339,284689797
6396227,129128556
82816917,402713988
132940744,49491453
101571478,347221497
34123658,15870061
142258739,359617702
110840041,251863161
33773587,95875607
46604709,388998815
81929696,177620891
61134302,118173578
52673329,146960274
24839442,221296152
59669265,365712326
8779015,3096697
7432045,367572080
74435353,321809149
52225359,278243696
4423839,80023048
49445501,11541169
139728754,163627704
80157281,58138784
88583894,312609118
119370179,210028911
15554387,231817847
73223346,106603352
35565163,11789725
4707609,138455022
72597136,3769623
23971826,12246940
36886015,275880086
97861587,362032154
96503383,90074271
57673022,328035762
85758206,297020531
108101748,53738139
82898642,95875607
95103333,398608352
4345477,328488636
80759955,257170497
93949903,310608572
24066696,164073116
