76102785	98	56	11	11	0	0	0	0	1635	175	102	23	23	0	0	0	0	1635	211	120	27	27	0	0	0	0	1635	1085	502	103	103	0	0	1	1	1635
61875003	151	101	0	0	5	5	0	0	1474	264	153	0	0	9	9	3	2	1474	411	228	0	0	24	23	11	10	1474	691	369	0	0	36	33	14	13	1474
18473301	170	63	0	0	6	6	1	1	2562	465	193	1	1	16	16	10	10	2562	653	260	6	6	18	17	12	12	2562	1296	535	14	14	32	27	21	21	2562
95016203	341	158	0	0	2	2	0	0	1503	341	158	0	0	2	2	0	0	1503	341	158	0	0	2	2	0	0	1503	795	365	0	0	6	5	0	0	1503
132940744	0	0	0	0	0	0	0	0	206	7	4	0	0	0	0	0	0	206	11	6	0	0	0	0	0	0	206	177	66	0	0	10	10	1	1	206
25250160	173	70	3	3	0	0	1	1	2419	389	165	9	9	0	0	1	1	2419	637	252	14	13	0	0	1	1	2419	1321	557	33	32	0	0	2	2	2419
50915402	1725	1105	0	0	22	22	1	1	11674	1969	1282	0	0	24	24	1	1	11674	3169	2015	0	0	54	53	2	2	11674	6321	3997	0	0	110	97	2	2	11674
13741474	176	72	0	0	26	23	9	8	1345	224	94	0	0	32	29	10	9	1345	238	99	0	0	32	29	10	9	1345	683	257	0	0	85	78	25	21	1345
104531516	190	70	2	2	1	1	0	0	3583	441	201	9	7	22	17	15	14	3583	618	276	12	10	23	18	17	16	3583	2313	997	33	31	48	33	25	24	3583
76327598	147	62	0	0	0	0	0	0	2531	403	170	0	0	0	0	0	0	2531	716	294	1	1	14	14	5	5	2531	1327	515	10	10	36	28	9	9	2531
63196351	119	58	0	0	0	0	0	0	1711	288	135	0	0	1	1	2	1	1711	421	192	0	0	1	1	4	3	1711	979	454	0	0	1	1	4	3	1711
60473530	1026	472	4	4	0	0	1	1	9609	1681	736	8	8	0	0	3	3	9609	2689	1160	14	14	2	2	4	4	9609	5138	2228	21	21	13	11	16	12	9609
85911844	4	2	0	0	0	0	0	0	299	45	22	0	0	1	1	0	0	299	82	40	0	0	4	4	1	1	299	157	76	0	0	7	7	1	1	299
80759955	257	101	4	4	11	11	0	0	4417	658	262	19	19	27	26	7	7	4417	1339	600	47	47	86	79	36	31	4417	1954	783	89	89	98	87	45	40	4417
82898642	206	167	0	0	5	5	0	0	1440	224	175	0	0	5	5	1	1	1440	351	265	0	0	5	5	1	1	1440	830	555	0	0	9	9	5	4	1440
19163256	222	77	3	3	14	13	1	1	2832	471	153	5	5	30	28	7	7	2832	559	183	6	6	54	51	21	20	2832	1447	473	23	23	143	118	48	41	2832
